FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String)
Rafael,Coluccini,F,913,6844816,WESKAN,KS,67762,M,N
Sait,Reus,M,423,4589671,MOSHEIM,TN,37818,S,Y
Calum,Christ,M,251,4339954,WOODSTOCK,AL,35188,S,Y
Abhijit,Reblewski,M,774,8145552,MARSTONS MILLS,MA,2648,S,Y
Tsunehiko,Lukose,F,505,6661765,GARFIELD,NM,87936,S,Y
Rema,Reifer,M,360,9014099,BELLINGHAM,WA,98226,M,N
Walt,Abbod,F,571,9386967,ARLINGTON,VA,22205,S,N
Letizia,MacNaughton,F,701,3318546,ASHLEY,ND,58413,M,N
Yoshimitsu,Rovere,F,907,1937756,PRUDHOE BAY,AK,99734,M,N
Akinori,Bischoff,M,225,4542576,LECOMPTE,LA,71346,S,Y
ShengLi,Bage,F,901,6094047,JACKSON,TN,38308,M,Y
Tosio,Clary,F,949,7523474,CLAREMONT,CA,91711,S,Y
Christodoulakis,Felgentreu,M,615,6539293,IDLEWILD,TN,38346,M,Y
Gustave,Napiorkowski,F,864,9998377,LANDO,SC,29724,S,Y
German,Perritt,M,920,5779851,GREEN BAY,WI,54311,M,N
Kenta,Kroppenstedt,M,808,9259399,HANALEI,HI,96714,M,Y
Jeffery,Sancho,M,702,4535164,LAS VEGAS,NV,89117,M,N
Shifu,Stetina,F,206,5915773,SEATTLE,WA,98112,M,N
Hironao,Upadhyaya,F,936,5495613,BEAUMONT,TX,77708,M,Y
Laurie,Mandell,M,636,5162673,ULMAN,MO,65083,S,Y
Sichen,Zwilling,F,480,5986494,AGUILA,AZ,85320,M,Y
Tetsuo,Philips,M,347,5716063,HIGHLAND LAKE,NY,12743,S,N
Merrell,Chiodo,M,781,3482046,SOMERVILLE,MA,2143,M,N
Kyo,Matuttis,M,417,5675500,MOUNT STERLING,MO,65062,M,Y
LiMin,Riva,M,307,3614297,ALTA,WY,83414,M,N
Dongseung,Juric,M,208,8656893,ARBON,ID,83212,M,Y
Osaaki,Dix,M,307,7879488,RECLUSE,WY,82725,S,Y
Owen,Taniar,M,302,9544706,BRIDGEVILLE,DE,19933,M,Y
Miao,McDermid,M,615,7282884,RELIANCE,TN,37369,M,Y
Oksana,Yamauchi,F,541,3875731,GLIDE,OR,97443,M,Y
Hosame,Printista,M,580,3134948,OKLAHOMA CITY,OK,73135,S,Y
Gennady,Franaszczuk,F,907,6462866,CHUGIAK,AK,99567,M,N
Shahid,Rutschlin,F,985,5353913,NEW IBERIA,LA,70563,M,N
Yuzou,Biedassek,F,605,4754181,AURORA,SD,57002,M,N
Udi,Pileggi,F,870,4296320,MOUNT JUDEA,AR,72655,M,N
Moises,Autexier,F,435,9947166,SALT LAKE CITY,UT,84116,S,Y
Seungho,Kaae,M,860,1075660,NORTH GRANBY,CT,6060,S,Y
Xiaotie,Benzmuller,F,605,8945321,SALEM,SD,57058,M,N
Katy,Forslund,M,907,8903905,GOODNEWS BAY,AK,99589,M,N
Xiufeng,Kusakabe,F,360,5686649,ETHEL,WA,98542,S,Y
Terran,Tishby,M,918,6094265,STILLWATER,OK,74076,M,Y
Chaoying,Conde,M,251,7312085,ANNISTON,AL,36202,S,Y
Gunnvald,Vanegas,F,203,7818251,MOOSUP,CT,6354,S,N
Orlando,Bitan,F,980,3873159,SANDY RIDGE,NC,27046,M,N
Jinghong,Matyska,M,856,7164101,LODI,NJ,7644,M,Y
Jaewon,Khoshnevisan,F,435,1732834,VIRGIN,UT,84779,S,N
Takafumi,Wijk,M,732,8035962,EAST ORANGE,NJ,7017,S,N
Annedore,Iturrioz,M,810,7432836,HOWELL,MI,48843,S,N
Niall,Norsworthy,F,501,1617681,FAYETTEVILLE,AR,72701,S,Y
Shigeaki,Morioka,M,504,4708680,WILDSVILLE,LA,71377,M,N
Xiulin,Skinner,F,603,8009231,PORTSMOUTH,NH,3801,M,N
Nate,Serdy,M,864,9733730,TAMASSEE,SC,29686,M,Y
Zin,Fiebach,M,503,3866759,MILL CITY,OR,97360,S,Y
Simonas,McKie,M,213,3123338,WEST HILLS,CA,91308,M,N
Yuyan,Sztandera,M,307,5872654,MOOSE,WY,83012,M,Y
Noam,Cosby,M,401,6522237,LINCOLN,RI,2865,S,N
Seinosuke,Backer,F,907,9736288,GRAYLING,AK,99590,S,Y
Meurig,Musil,M,406,9073485,GARRYOWEN,MT,59031,M,Y
Haechull,Finamore,F,772,1842631,MIDWAY,FL,32343,S,Y
DongGill,Graft,F,207,1706704,ROXBURY,ME,4275,S,N
Tatiana,Kutylowski,M,971,3423846,BRIDAL VEIL,OR,97010,S,N
Mou,McFarlane,M,409,8966945,GARWOOD,TX,77442,S,N
Ewgeni,Lipton,M,423,9816899,MEMPHIS,TN,38127,M,N
Kinson,Kees,F,225,4566453,WAKEFIELD,LA,70784,S,N
Florina,Subramaniyam,M,931,8697767,VANLEER,TN,37181,M,N
Alfonz,Dimitoglou,F,808,8988223,KAUMAKANI,HI,96747,M,Y
Aiwei,Iravani,M,870,2936421,SULPHUR ROCK,AR,72579,S,Y
Ziva,Neufeld,M,917,4843067,BROOKLYN,NY,11204,S,Y
Voratas,Waligora,F,865,9968548,HOHENWALD,TN,38462,S,Y
Norwin,Cheriton,F,801,6903626,WELLINGTON,UT,84542,S,N
Chokchai,Faulk,M,857,5965705,WORCESTER,MA,1602,S,N
Leland,Bist,M,913,6382421,FORT DODGE,KS,67843,S,Y
Guntram,Wender,F,937,2707757,FOSTORIA,OH,44830,M,Y
Marc,Woelk,M,404,7807764,GLENNVILLE,GA,30427,S,N
Ursula,Lapis,M,307,8165687,ROBERTSON,WY,82944,M,N
Eugeniusz,Thacker,F,606,2724515,GAYS CREEK,KY,41745,M,N
Masami,Azulay,M,410,3862249,PINEY POINT,MD,20674,S,N
Divine,Reeve,F,256,9654592,MUNFORD,AL,36268,M,Y
Teofilo,Sadaoui,M,314,8149635,STRASBURG,MO,64090,M,Y
Hagen,Langerman,M,757,8724124,VIRGINIA STATE UNIVERSITY,VA,23806,M,Y
Aju,Amarel,F,603,4698297,ATKINSON,NH,3811,S,N
Shuho,Templeman,F,785,9065837,ELLINWOOD,KS,67526,M,N
Erin,Chandra,F,301,6553066,KENSINGTON,MD,20891,S,N
Liqun,Mittasch,M,808,9923330,HONOLULU,HI,96810,M,Y
Eddie,Habra,M,828,9977117,JACKSONVILLE,NC,28540,S,Y
Yuliang,Uresin,M,337,5206017,BRANCH,LA,70516,S,N
Aristid,Milos,F,630,8124860,CARRIER MILLS,IL,62917,S,Y
Shakhar,Nord,M,339,6809600,CHERRY VALLEY,MA,1611,M,Y
Bowen,Birge,F,586,9869825,BEAVERTON,MI,48612,S,Y
Umberto,Sartini,M,360,1421389,TACOMA,WA,98492,M,N
Rosana,Boillat,F,567,6919758,CINCINNATI,OH,45212,S,Y
Basuki,Berdichevsky,M,320,1532086,BRUNO,MN,55712,S,Y
Nicu,Grivas,M,208,7876927,HAILEY,ID,83333,S,N
Hiromu,Haake,F,501,9615257,MANSFIELD,AR,72944,S,N
Olivera,Heijst,M,702,5532584,LAS VEGAS,NV,89128,M,Y
Athushi,Lehtovaara,M,603,2352319,PLAISTOW,NH,3865,S,Y
Debendra,Alblas,F,585,5128998,EAST MARION,NY,11939,S,Y
Gomer,Bollacker,F,443,7389230,WILLARDS,MD,21874,M,Y
Baile,Karasan,F,947,7849325,CORAL,MI,49322,M,Y
Zhu,Juuso,M,978,1705280,DEERFIELD,MA,1342,S,N
Mirjam,Freuder,M,225,4512202,COTTONPORT,LA,71327,S,Y
Solange,Dobmann,M,808,7479491,HONOLULU,HI,96837,S,N
Kerima,Elgaard,F,406,3719987,SAINT MARIE,MT,59231,S,Y
Aduri,Dierolf,F,205,6157563,BERRY,AL,35546,M,N
Linn,Meyrowitz,F,406,2617338,BILLINGS,MT,59106,S,Y
Bernd,Haemer,M,702,8523512,HENDERSON,NV,89002,S,N
Uchang,McCandless,F,571,4907437,MANNBORO,VA,23105,M,N
Aarne,Dreier,F,406,6897264,BILLINGS,MT,59111,S,Y
Junxian,Roussou,M,808,4612822,KEALIA,HI,96751,M,Y
Jianna,Greve,F,207,5155182,RANDOLPH,ME,4346,M,N
Guido,Miake,M,205,9469810,ALTON,AL,35015,S,N
Merritt,Tuncel,F,203,6558352,FALLS VILLAGE,CT,6031,S,N
Assia,Steinparz,F,808,9431670,HONOLULU,HI,96824,M,N
Shao,Clenshaw,M,425,6284854,SEATTLE,WA,98185,S,N
Sajee,Schenk,M,860,7524670,SOUTH GLASTONBURY,CT,6073,M,N
Ranjit,Das,M,605,4046896,HITCHCOCK,SD,57348,S,N
Sadahiro,Takeoka,F,615,5007375,DELLROSE,TN,38453,M,Y
You,Cowan,M,262,8674616,VAN DYNE,WI,54979,M,N
Ales,Desanctis,F,956,7566625,KELLER,TX,76244,S,Y
Mahendran,Zeugmann,F,502,6041062,NEBO,KY,42441,S,Y
Anirudh,Meszaros,M,307,7583346,SHOSHONI,WY,82649,M,N
Polle,Zemerly,F,912,6199082,BARTOW,GA,30413,M,Y
Huu,Ivanova,F,586,8991566,COLEMAN,MI,48618,M,N
Ludmila,Rutten,M,808,7075319,PAIA,HI,96779,M,N
Kohei,Cozza,M,920,5047722,JANESVILLE,WI,53545,S,N
Paris,Carre,M,605,2228906,WENTWORTH,SD,57075,M,Y
Ruchir,Bruandet,M,319,3862765,OLIN,IA,52320,M,N
Zdravko,Rigo,M,763,9395697,FINLAND,MN,55603,M,N
Blair,Piricka,M,605,4957033,BRISTOL,SD,57219,M,N
Evaggelia,Ibel,M,651,6539240,BEMIDJI,MN,56619,S,Y
Moriyoshi,Complak,F,803,4411347,LA FRANCE,SC,29656,M,N
Manjai,Mecking,F,224,7435862,BATH,IL,62617,M,Y
Shuanghua,Bugrara,F,918,7659579,OKLAHOMA CITY,OK,73104,M,Y
Cem,Reinsch,F,314,5133968,COLUMBIA,MO,65205,S,N
Yuanyuan,Ullrich,M,302,5669392,NASSAU,DE,19969,S,N
Mohsen,Lazensky,F,919,9926378,GLENWOOD,NC,28737,S,Y
Papa,Ochoa,F,239,4083605,FORT MYERS BEACH,FL,33932,M,N
Jef,Reinitzer,F,503,1381928,ESTACADA,OR,97023,M,Y
Prabhav,Hemaspaandra,F,319,8069419,NEW VIRGINIA,IA,50210,S,N
Youpyo,Shimony,M,720,5729861,HOWARD,CO,81233,S,Y
Helga,Shackel,M,803,1325551,LANDRUM,SC,29356,S,Y
Yuichi,Asplund,M,256,1141941,MOBILE,AL,36691,S,Y
Huican,Meysembourg,F,308,3966030,SAINT HELENA,NE,68774,S,Y
Youngdon,Georg,M,816,5578554,RIVERSIDE,MO,64150,M,N
Fumitaka,Ghalwash,F,410,3378525,BURTONSVILLE,MD,20866,S,N
Yujun,Setubal,F,631,1387987,HUBBARDSVILLE,NY,13355,S,N
Gunilla,Rachid,M,202,7371620,WASHINGTON,DC,20570,S,N
Landy,Kiesel,F,682,1536765,WICHITA FALLS,TX,76307,S,N
GuoDong,Motschnig,M,316,3274380,SMITH CENTER,KS,66967,M,Y
Sethu,Kruyt,M,561,3006036,JACKSONVILLE,FL,32277,S,Y
Sammy,Ianov,M,406,4583069,BUSBY,MT,59016,M,Y
Siyi,Farreny,M,878,5482083,CALLERY,PA,16024,S,Y
Hungwen,Cassez,F,302,4894073,DOVER,DE,19903,S,N
Bassel,Marefat,M,502,5984308,LEXINGTON,KY,40578,M,Y
Henke,Lavoie,F,601,8642153,PRENTISS,MS,39474,M,N
Sovanna,Aloia,M,314,6599512,SPRINGFIELD,MO,65802,M,N
Chadia,Karstu,M,636,5801964,POTTERSVILLE,MO,65790,M,N
Masakage,Pitchumani,F,225,2148643,METAIRIE,LA,70060,M,N
Sergi,Pottosin,F,202,8061567,WASHINGTON,DC,20063,S,N
Ermanno,Andronikos,F,252,5901962,CAROLEEN,NC,28019,M,Y
Eileen,Jostes,F,323,5861796,JOHANNESBURG,CA,93528,S,Y
Eneko,Thies,F,240,1294388,MILLINGTON,MD,21651,M,N
Eliezer,Georg,M,202,2516761,WASHINGTON,DC,20201,S,N
Tushar,Jeffrey,M,682,6109591,AUSTIN,TX,78734,M,Y
Roderic,Kann,F,307,4309500,RIVERTON,WY,82501,M,N
Aemilian,Stille,M,360,2048816,LOPEZ ISLAND,WA,98261,M,N
Lucja,Daws,M,304,8765508,WILLIAMSBURG,WV,24991,S,N
Khakhanian,Purna,M,603,3814561,LACONIA,NH,3246,S,N
Georgio,Merey,F,602,1238258,FLORENCE,AZ,85279,S,Y
Ivan,Tucker,M,409,1077242,CORPUS CHRISTI,TX,78405,M,Y
Daina,Klement,M,478,8294135,ALTO,GA,30596,M,N
Kaushik,McGee,F,314,7144562,TRIMBLE,MO,64492,S,Y
Simon,Botsch,M,864,6448594,SUMTER,SC,29150,S,Y
Tomoko,Farrel,F,703,6586995,VIRGINIA BEACH,VA,23452,M,N
Ramesh,Sluizer,F,520,5696350,KINGMAN,AZ,86409,M,N
Giri,Bouguettaya,M,702,4903286,NORTH LAS VEGAS,NV,89030,M,Y
Jacqueline,Dimopoulos,F,720,2184762,KERSEY,CO,80644,M,Y
Norwin,Dunan,F,505,6054229,MONTICELLO,NM,87939,S,N
Mei,Maluszynski,F,207,4935335,GUILFORD,ME,4443,M,N
Yuewei,Angster,F,430,9442657,RIO VISTA,TX,76093,S,N
Wop,Kipper,F,505,9303805,CORRALES,NM,87048,S,Y
Hujun,Lidstone,F,270,5858047,LACKEY,KY,41643,M,N
Its hak,Cagman,M,785,6812547,OKETO,KS,66518,S,N
Kagan,Prieve,F,260,4767435,DANVILLE,IN,46122,S,N
Jans,Greenberger,F,509,3926671,TACOMA,WA,98445,S,N
Chrisila,Bolotov,M,843,9251932,SARDINIA,SC,29143,M,Y
Anany,Dovidio,M,315,9807798,DOLGEVILLE,NY,13329,M,Y
Carroll,Tash,M,307,9529382,MERIDEN,WY,82081,M,Y
Rimon,Urpi,M,660,2516600,PROTEM,MO,65733,S,Y
Elvis,Devor,F,808,6656517,LANAI CITY,HI,96763,S,Y
Tokuji,O Riordan,F,787,1638126,PONCE,PR,730,S,Y
Wenhua,Dehais,F,406,7325244,LOLO,MT,59847,S,N
Gokhan,Reiprich,F,808,3747744,HONOLULU,HI,96802,S,N
Ronaldo,Kalamatianos,F,479,8863170,STATE UNIVERSITY,AR,72467,M,N
Heung,Deves,M,419,8275438,LEESBURG,OH,45135,S,Y
Shyue,Beauvieux,M,843,2337592,SUMMERVILLE,SC,29483,S,Y
Fay,Grobel,F,785,1791331,CUNNINGHAM,KS,67035,S,Y
Marinette,Heimdahl,F,843,8047567,CANADYS,SC,29433,M,Y
Dushyanth,Wichert,F,304,9329346,WILCOE,WV,24895,M,N
Johanne,Peak,F,985,6966594,METAIRIE,LA,70033,S,N
Sadatoshi,Jurtensen,M,662,2725878,GREENVILLE,MS,38702,M,N
Mark,Podkolzin,F,224,4144871,LANCASTER,IL,62855,S,N
Oystein,Basawa,M,802,4505838,SAINT JOHNSBURY CENTER,VT,5863,M,Y
Geng,Gutbrod,F,207,9093599,NEW GLOUCESTER,ME,4260,S,Y
Mustapha,Tsotras,F,413,1528797,SPRINGFIELD,MA,1133,S,Y
Rudy,Neuhaus,F,208,1491723,BRUNEAU,ID,83604,M,N
Lance,Andradas,F,239,2279571,GAINESVILLE,FL,32611,S,Y
Sheryl,Suwanda,M,435,2551409,SALT LAKE CITY,UT,84157,S,N
Daphna,Plesniewicz,F,817,4303018,SARATOGA,TX,77585,S,N
Arnaud,Dussa,M,936,4783094,CRANDALL,TX,75114,S,Y
Prithviraj,Hobbs,M,857,9733281,SIASCONSET,MA,2564,S,N
Joel,Stamenas,F,808,2369271,HALEIWA,HI,96712,M,N
Serdar,Verhofstadt,M,971,1368646,PORTLAND,OR,97267,M,Y
Sefeng,Wish,F,318,5692142,DEVILLE,LA,71328,S,Y
Hguyen,Gecseg,F,908,7422722,ELIZABETH,NJ,7202,M,Y
Hosahalli,Mallorqui,M,910,3834665,HOPE MILLS,NC,28348,M,N
Dave,Clary,F,318,6048981,SLAGLE,LA,71475,M,Y
Tatsuji,Rand,M,603,6013281,MIRROR LAKE,NH,3853,S,N
Chandramouli,Sigle,M,731,6424873,VANLEER,TN,37181,S,N
Allessandro,Duclos,M,603,4569377,SULLIVAN,NH,3445,M,N
Reriel,Lalanne,F,787,6915430,CAROLINA,PR,983,M,Y
Yannick,Filipponi,F,603,5299124,MANCHESTER,NH,3104,S,N
Stafford,Miake,M,802,3464766,SOUTH RYEGATE,VT,5069,M,N
Lougie,Chihara,M,856,8516206,CLIFFWOOD,NJ,7721,S,Y
Margaretha,Bolliger,F,505,3745789,MCINTOSH,NM,87032,S,Y
Tomohiko,Cantwell,M,203,3395448,SOUTH LYME,CT,6376,S,N
Tatsuya,Gerdt,M,401,8872007,PROVIDENCE,RI,2908,M,N
Hyongmuk,Manhart,F,202,3977677,WASHINGTON,DC,20226,M,N
Roswita,Alencar,M,678,7578230,HAGAN,GA,30429,S,Y
Jussi,Sundareshan,F,225,3596430,LETTSWORTH,LA,70753,M,N
Shoji,Boudjlida,M,202,1252800,WASHINGTON,DC,20318,M,N
Jiajie,Plummer,M,256,9406827,MONTGOMERY,AL,36135,M,N
Norton,Harangsri,M,980,7281964,GREENSBORO,NC,27401,S,N
Qianhong,Tickle,M,939,7787529,SAN JUAN,PR,933,S,N
Tanveer,Flinn,M,515,5086160,DENMARK,IA,52624,S,N
Evgeny,Argamon,F,713,4108074,ROPESVILLE,TX,79358,S,Y
Akhilesh,Pinchuk,M,787,3821901,TOA BAJA,PR,949,S,N
Nand,Layer,F,859,4369970,BEREA,KY,40403,M,N
Brion,Rienhoff,M,202,9335718,WASHINGTON,DC,20076,S,N
Hennie,Tausch,F,251,4186677,PETERMAN,AL,36471,M,N
Sujeet,Billaud,F,404,2064049,NEWBORN,GA,30056,S,Y
Nevzat,Complak,F,603,6988756,SWANZEY,NH,3446,S,Y
Faouzi,Woelk,M,307,2259961,ROZET,WY,82727,M,N
Nishit,Christinaz,F,865,1066049,MOORESBURG,TN,37811,M,N
Kazuki,Preishuber,M,240,1193418,SAINT INIGOES,MD,20684,S,N
Jutta,Hajnal,M,304,8701494,GREEN SULPHUR SPRINGS,WV,25966,S,Y
Ikuo,Adlassnig,M,847,1165612,DORSEY,IL,62021,M,Y
Shiroteru,Provine,M,229,2973452,LAVONIA,GA,30553,S,Y
Xiulin,Hamburg,F,567,8942509,TOLEDO,OH,43682,M,Y
Adrianus,Carstensen,M,971,6848516,CLOVERDALE,OR,97112,S,N
Masashi,Roxin,F,360,6539899,SEATTLE,WA,98113,S,N
Frieda,Coppini,F,702,3095895,ZEPHYR COVE,NV,89448,S,Y
Sudarshan,Norrish,F,775,8348424,LAS VEGAS,NV,89113,M,N
Yim,Wadey,F,505,9957695,GRADY,NM,88120,M,N
Hayo,Wickline,F,724,2032710,EAST PROSPECT,PA,17317,S,N
Myron,Gold,M,702,4277368,LAS VEGAS,NV,89123,M,N
Rohan,Baranowski,F,404,5029407,PERKINS,GA,30822,S,N
Hillol,Kadous,F,580,3116894,TULSA,OK,74103,M,N
Ingolf,Lavin,M,813,7577410,ORLANDO,FL,32867,S,Y
Teck,Tatsiopoulos,F,319,3043209,DEDHAM,IA,51440,M,Y
Kentaru,Armando,M,302,3203568,NEWARK,DE,19702,M,Y
Xiyong,Leitman,F,907,2341097,NOATAK,AK,99761,S,Y
Agustin,Ade,M,208,5283855,GLENNS FERRY,ID,83623,M,Y
Jayasree,Junior,M,203,9109899,STAMFORD,CT,6913,M,Y
Fatemeh,Bousson,M,502,5192396,HENDERSON,KY,42419,S,N
Thiagarajan,Fouks,M,732,5639251,PARAMUS,NJ,7652,M,Y
Satu,Evett,F,870,3075262,BEEDEVILLE,AR,72014,S,N
Rejane,Wendorf,F,605,4564411,GAYVILLE,SD,57031,S,N
Osnat,Klawonn,M,603,2353956,ASHLAND,NH,3217,S,Y
Concettina,Bay,M,501,3525280,BAY,AR,72411,S,N
Nicholas,Samaddar,M,785,8282194,NICKERSON,KS,67561,M,N
Yukinobu,DiPippo,F,203,2641418,EAST CANAAN,CT,6024,S,Y
Marzena,Jingmin,F,775,9969787,THE LAKES,NV,88905,M,Y
Montgomery,Willoner,M,661,7688212,NORTH HOLLYWOOD,CA,91616,S,Y
Omran,Koperski,F,502,9894846,OLIVE HILL,KY,41164,M,N
Seraffin,Scharf,M,573,5466005,INDEPENDENCE,MO,64052,M,Y
Changqing,Eversberg,F,413,2105023,TOWNSEND,MA,1469,M,N
Mukesh,Sawada,F,207,4106947,NORWAY,ME,4268,S,N
Sarosh,Goos,F,636,7773097,LEADWOOD,MO,63653,M,N
Willard,Habermann,F,856,3136169,FAR HILLS,NJ,7931,M,Y
Fumiyo,Stahl,M,971,1244708,TIDEWATER,OR,97390,S,N
Darla,Goldsby,F,412,8543370,MIDWAY,PA,15060,S,Y
Gail,Kamp,M,785,5866271,GODDARD,KS,67052,S,Y
Karim,Shimono,M,701,8368414,GLASSTON,ND,58236,S,N
Hiraku,Yoshii,F,304,7613043,CHARLESTON,WV,25326,M,N
Vamsee,Raha,F,602,9303086,GANADO,AZ,86505,S,N
Marina,Strasen,F,478,6161752,BRUNSWICK,GA,31520,M,N
Kamil,Tisato,F,406,4585469,RINGLING,MT,59642,S,Y
Johanne,Strevell,F,616,9804677,COVERT,MI,49043,M,Y
Kan,Lecordix,M,541,2908634,EUGENE,OR,97408,M,N
Yoonsuck,Stage,F,339,8159871,SUNDERLAND,MA,1375,S,Y
Elben,Idri,F,208,9841234,COEUR D ALENE,ID,83815,S,N
Kencheng,Guyton,M,336,8004917,SPENCER,NC,28159,S,N
Zygmunt,Justus,F,435,2557716,EDEN,UT,84310,S,Y
Adina,Musikaev,F,607,9533775,BROOKLYN,NY,11215,S,N
Marinette,Lovas,F,907,9294396,EMMONAK,AK,99581,M,Y
Grigorii,Leiba,M,219,3669208,PREBLE,IN,46782,M,Y
Katsuhisa,Abali,F,859,4542265,MAMMOTH CAVE,KY,42259,S,Y
Solveig,Gryl,M,571,4833402,HAYSI,VA,24256,S,N
Moriyoshi,Maamar,F,205,7649217,SAMANTHA,AL,35482,M,N
Helmuth,Neuwirth,F,939,6998558,HATILLO,PR,659,M,N
Sanggoo,Pintelas,M,610,7626375,SPRUCE CREEK,PA,16683,M,N
Padhraic,Poggio,F,404,2653530,BOWDON JUNCTION,GA,30109,S,N
Shushma,Rispoli,F,786,1219888,ROSELAND,FL,32957,S,Y
Ayman,Garrett,M,307,8758592,BEDFORD,WY,83112,M,N
Bennett,Weusten,M,972,5758183,DALLAS,TX,75357,S,N
Howell,Klingemann,M,218,5636728,SAINT PAUL,MN,55165,S,N
Takamoto,Oestreicher,M,939,2064701,SABANA SECA,PR,952,M,Y
Fung,Rosis,F,571,8762323,MIDDLETOWN,VA,22645,M,Y
Jianying,Meilijson,M,513,1853814,OTTAWA,OH,45875,M,N
Karlheinz,Ernst,F,716,6499325,DERBY,NY,14047,S,Y
Xinyao,McNeese,F,907,7308017,STERLING,AK,99672,S,N
Mariano,Sutiwaraphun,F,551,8382078,SOUTH HACKENSACK,NJ,7606,S,Y
Shohei,Aerts,F,402,4112225,MADISON,NE,68748,S,N
Chiang,Zamfirescu,M,808,4288843,HOLUALOA,HI,96725,M,Y
Evelyne,Loewenstein,M,706,7849963,MANASSAS,GA,30438,S,Y
Rom,Carballo,F,405,8465336,LONE WOLF,OK,73655,S,Y
Soraya,Fuchi,M,229,9799487,MILLEDGEVILLE,GA,31061,S,Y
Stanford,Dolken,F,732,4274910,ROSELLE PARK,NJ,7204,S,N
Changjie,Laguitton,F,508,2827911,BOSTON,MA,2211,M,N
Radek,Artosi,F,225,9586061,GALLIANO,LA,70354,S,Y
Gabi,Trudel,F,801,2056504,SALT LAKE CITY,UT,84120,M,N
Shengrui,Gutenmakher,F,571,2863363,RED ASH,VA,24640,M,N
Hyuk,Czajkowski,F,256,9174849,LAFAYETTE,AL,36862,S,N
Oguz,Baja,M,763,1644354,MINNEAPOLIS,MN,55459,M,Y
Franklin,Glew,F,845,5114147,HOLLAND,NY,14080,M,N
German,Zaroliagis,M,989,7939118,GARDEN,MI,49835,M,N
Hakki,Magenheimer,F,901,1535381,LANCING,TN,37770,S,N
Ramayya,Aghili,F,803,2157392,NORWAY,SC,29113,M,Y
Raed,Jonker,F,772,7186240,WINTER HAVEN,FL,33883,S,N
Noha,Luzi,F,626,3442735,RUTHERFORD,CA,94573,M,N
Youjip,Thiran,M,775,6149882,HENDERSON,NV,89077,S,N
Jyhjong,Boese,F,304,8595127,COAL MOUNTAIN,WV,24823,S,N
Samy,Styblinski,M,425,2395170,SPRAGUE,WA,99032,S,N
Luisa,Verloop,F,410,2776776,KENNEDYVILLE,MD,21645,S,N
Chiang,Kuhnemann,M,605,1469258,HAZEL,SD,57242,S,Y
Naotake,Haznedar,F,970,2355937,COPE,CO,80812,S,N
Kriengkrai,Biermann,F,516,9225241,NEW YORK,NY,10030,S,Y
Lionel,Burgert,F,848,2238056,FAIRTON,NJ,8320,M,Y
Maheswara,Dhagat,F,870,9884828,CLARENDON,AR,72029,S,N
Nobo,Piel,M,775,9395999,INCLINE VILLAGE,NV,89451,M,N
Dines,Senator,F,863,9091901,ROSELAND,FL,32957,M,N
Gayle,Noerr,F,702,8983433,MINA,NV,89422,S,N
Christoforos,Gavrilov,M,641,9358241,MANNING,IA,51455,S,Y
Pallavi,Nishimukai,M,605,9289387,TABOR,SD,57063,S,Y
Hakim,Justin,F,229,5295460,STATESBORO,GA,30459,M,Y
Long,Gurla,F,920,1345260,WATERLOO,WI,53594,M,N
Maryalice,Bahsoun,F,478,5864254,CUMMING,GA,30028,M,Y
Michita,Kleftouris,F,603,5349797,MADISON,NH,3849,S,N
Kexiang,Souillard,M,609,3952896,DELAWARE,NJ,7833,S,Y
Fan,Class,M,208,1518412,MAY,ID,83253,M,N
Alec,Getto,M,609,4733184,BOONTON,NJ,7005,M,N
Maurelio,Maciel,M,501,7324110,ADONA,AR,72001,S,Y
Einoshin,Sollner,F,919,9391307,HIGH SHOALS,NC,28077,M,N
Vernon,State,F,435,7782444,BONANZA,UT,84008,M,N
Tetsuzo,Tiernan,F,602,9544538,GLENDALE,AZ,85312,M,N
Bogdan,Gerling,M,904,2564664,MIAMI,FL,33107,M,Y
Eldad,Uthaisombut,M,618,2257222,DONNELLSON,IL,62019,S,Y
Ornan,Roubiere,F,253,8739036,TACOMA,WA,98455,S,Y
Kewen,Schwiegelshohn,M,307,6064278,BAIROIL,WY,82322,S,N
Jinya,Kennamer,F,260,5041751,CENTERVILLE,IN,47330,M,N
Luddy,Assadi,F,901,8274711,OLD HICKORY,TN,37138,S,N
Behnam,Tiskin,M,414,4603811,MILWAUKEE,WI,53274,M,N
Mantis,Susmaga,M,260,6018125,WAVELAND,IN,47989,S,N
Demosthenis,Lanphier,M,351,5317842,WATERTOWN,MA,2472,M,Y
Zhili,Sutanto,F,307,3407113,FREEDOM,WY,83120,M,N
Grahame,Gestri,F,401,5407971,PROVIDENCE,RI,2904,M,N
Michinori,Tomas,F,307,6025344,KINNEAR,WY,82516,S,N
Masoud,Galand,F,414,4642106,GILMAN,WI,54433,S,Y
Souvik,Bassiouni,F,910,6054128,DURANTS NECK,NC,27930,M,Y
Parimal,Glymidakis,M,201,9662578,SOMERDALE,NJ,8083,S,Y
Zhaohua,Irshid,F,734,2801286,BOYNE CITY,MI,49712,S,N
Chinying,Orejas,F,939,2864901,SAN JUAN,PR,929,S,Y
Wilmer,Woof,F,859,9481513,VERSAILLES,KY,40384,M,N
Takumi,Shephard,M,803,5818867,GREEN SEA,SC,29545,S,N
