FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),SingleExemp(Integer),MarriedExemp(Integer),ChildExemp(Integer)
Iveta,Burnell,M,541,3404242,PORTLAND,OR,97290,S,Y,159,0,159
Rasa,Hasida,M,928,2254391,YUCCA,AZ,86438,M,Y,0,4200,2300
Hesham,Liberman,M,262,4348506,POYNETTE,WI,53955,S,Y,700,0,400
Neil,Muhammad,F,623,2706925,SAN LUIS,AZ,85349,S,N,2100,0,0
Rengarajan,Ikehata,M,401,7515942,JAMESTOWN,RI,2835,M,N,0,0,0
Jusung,Smetana,F,203,9959185,NAUGATUCK,CT,6770,S,N,12750,0,0
Sonal,Garratt,M,907,6907436,EIELSON AFB,AK,99702,M,Y,0,0,0
Yuzuru,Gladman,M,919,1478732,GREENSBORO,NC,27402,M,N,0,6600,0
Jagannathan,Luchangco,M,202,2838150,WASHINGTON,DC,20580,S,Y,1370,0,1370
Salem,Hiroyama,M,757,1516066,STUART,VA,24171,S,Y,900,0,900
Ysolde,Salverda,M,337,7267370,ALEXANDRIA,LA,71309,S,Y,4500,0,1000
Gurindar,Ugol nikov,F,571,2212985,HENRICO,VA,23228,S,N,900,0,0
Byung,Mahboob,M,218,1506799,LAKE LILLIAN,MN,56253,M,N,0,6600,0
Aomar,Ragland,M,253,9247201,REDONDO,WA,98054,S,N,0,0,0
Kimihito,Anastasakis,M,610,2965379,ATGLEN,PA,19310,S,N,0,0,0
Divyakant,Loganantharaj,M,603,7807616,WATERVILLE VALLEY,NH,3215,S,Y,0,0,0
Kazutaki,Cho,M,402,4494698,DANNEBROG,NE,68831,M,N,0,206,0
Gudula,Lafora,M,907,9438921,PILOT POINT,AK,99649,S,Y,0,0,0
Chris,Thoreson,M,406,9437715,MOORE,MT,59464,S,N,1900,0,0
Galal,Maarek,M,504,5579137,LOREAUVILLE,LA,70552,M,N,0,9000,0
Shona,Jaklic,F,302,4718317,HOUSTON,DE,19954,S,N,110,0,0
Boman,Farrel,F,225,5274556,LAFAYETTE,LA,70500,M,N,0,9000,0
Yinghua,Jesty,F,228,5518445,LITTLE ROCK,MS,39337,M,N,0,12000,0
Cathleen,Brutlag,F,701,6471674,DICKINSON,ND,58601,M,Y,0,6600,3300
Tatuo,Greenbaum,M,916,9096924,WALNUT CREEK,CA,94596,M,Y,0,174,272
Chengchang,Onaga,F,479,6048458,DOVER,AR,72837,S,Y,20,0,20
Goutam,Tada,F,603,5796513,WESTMORELAND,NH,3467,S,N,0,0,0
Choong,Demos,F,605,9338018,NORRIS,SD,57560,S,Y,0,0,0
Seungjoon,Faulstich,M,917,7354167,GARDEN CITY,NY,11599,S,N,0,0,0
Gurdip,Chaudhuri,M,270,6252532,SWEEDEN,KY,42285,S,Y,20,0,20
Shawna,Kuemmerle,F,419,4018102,COLUMBUS,OH,43228,M,Y,0,2600,1300
Juraj,Parisotto,F,570,4646905,SWENGEL,PA,17880,S,N,0,0,0
Jarir,Prodiner,M,954,1689838,ORLANDO,FL,32817,S,Y,0,0,0
Devesh,Mizunuma,M,864,3691347,GREENWOOD,SC,29648,S,N,3300,0,0
Xianging,Akaboshi,M,307,1165246,LYSITE,WY,82642,M,N,0,0,0
Zhaohua,Racz,F,808,9613511,WHEELER ARMY AIRFIELD,HI,96854,S,N,1040,0,0
Rajendra,Desai,F,754,3052938,MOSSY HEAD,FL,32434,M,Y,0,0,0
Haitao,Leibs,M,228,2833916,GRENADA,MS,38901,M,N,0,12000,0
Bashar,Osisek,M,509,3357038,COLTON,WA,99113,M,N,0,0,0
Levis,Partsch,M,316,3449656,RANTOUL,KS,66079,M,N,0,4500,0
Benkt,Pirenne,M,435,5777032,LEWISTON,UT,84320,M,N,0,4950,0
Pieter,Bernardeschi,F,484,5999332,POTTERSDALE,PA,16871,M,Y,0,0,0
Furio,Jameel,F,224,6933387,WADSWORTH,IL,60083,M,N,0,4000,0
Deanna,Kessler,F,870,7495363,TURRELL,AR,72384,S,N,20,0,0
Kellogg,Zahir,M,425,2429400,AMBOY,WA,98601,S,N,0,0,0
April,Gregg,F,203,1227966,FARMINGTON,CT,6032,S,Y,12750,0,0
Shalosh,Purdin,F,360,9519873,OROVILLE,WA,98844,M,Y,0,0,0
JoAnne,Stefanini,F,567,8105958,YOUNGSTOWN,OH,44505,S,Y,1300,0,1300
Radenko,Rouquie,M,808,8498561,ELEELE,HI,96705,S,N,1040,0,0
Birger,Pelezar,M,563,9701673,MONTPELIER,IA,52759,M,N,0,80,0
Zohel,Natrajan,M,802,1788170,WEST WARDSBORO,VT,5360,S,N,3300,0,0
Jiang,Hanakawa,M,339,2787483,SOUTH HARWICH,MA,2661,M,Y,0,7150,1000
Elmar,Piitulainen,M,307,3164892,SAVERY,WY,82332,S,Y,0,0,0
Kei,Pagello,F,617,7294484,BOLTON,MA,1740,S,N,3575,0,0
Goncalo,Czap,M,414,6757621,PARK FALLS,WI,54552,M,Y,0,1400,400
Usama,Gutmann,M,479,8502983,WESTERN GROVE,AR,72685,S,Y,20,0,20
Erika,Iwadera,M,720,8685672,DRAKE,CO,80515,S,N,0,0,0
Valente,Molenkamp,M,860,8628492,PEQUABUCK,CT,6781,S,Y,12750,0,0
Anselm,Rajkumar,F,907,5894330,HAINES,AK,99827,M,Y,0,0,0
Saku,Corso,M,318,4432214,NEW ORLEANS,LA,70113,S,Y,4500,0,1000
Otmane,Bodlaender,M,386,7633407,NORTH FORT MYERS,FL,33917,S,N,0,0,0
Donia,Hjrschheimi,F,720,1214380,OURAY,CO,81427,M,N,0,0,0
Bernice,Gierz,M,208,3703470,GREENLEAF,ID,83626,M,N,0,6600,0
Berthe,Poli,M,270,7301930,TOMPKINSVILLE,KY,42167,S,Y,20,0,20
Parvathi,Anker,M,971,6518850,PORTLAND,OR,97225,M,N,0,318,0
Isabelle,Lutzeler,M,425,7842764,OLYMPIA,WA,98502,M,Y,0,0,0
Thiel,Halker,F,602,5695318,RIO RICO,AZ,85648,M,N,0,4200,0
Charley,Mussehl,M,401,7533732,SAUNDERSTOWN,RI,2874,M,N,0,0,0
Krista,McCallum,F,401,7507616,FORESTDALE,RI,2824,M,Y,0,0,0
Rajan,Veevers,M,985,1111074,DRY PRONG,LA,71423,M,N,0,9000,0
Ishantha,Langtangen,M,313,7749949,DETROIT,MI,48268,M,N,0,6200,0
Krichnakumar,McNaught,M,939,4542579,HATILLO,PR,659,S,Y,0,0,0
Joycelyne,Zingoni,M,802,5842380,STOWE,VT,5672,M,N,0,6600,0
Ullrich,Poix,M,580,4397604,WYNONA,OK,74084,M,N,0,2000,0
Byungki,Yamaashi,M,302,5701236,NEW CASTLE,DE,19721,S,Y,110,0,110
Kaoru,Eldridge,M,937,5544569,WALHONDING,OH,43843,S,N,1300,0,0
Vladdimir,Zunino,F,202,2768464,WASHINGTON,DC,20057,M,N,0,2740,0
Anandeep,Bail,M,270,9439402,STAFFORDSVILLE,KY,41256,M,Y,0,40,20
Fraser,Evett,F,952,4205058,WATERTOWN,MN,55388,S,Y,3300,0,3300
Paolo,Rahmstorf,M,865,9785112,MOUNT JULIET,TN,37122,S,N,0,0,0
Truman,Ramsak,M,878,4742732,ERIE,PA,16550,S,N,0,0,0
Chahab,Rauscher,F,919,4549821,ENGELHARD,NC,27824,S,N,3300,0,0
Sajee,Remy,M,401,3323558,CENTRAL FALLS,RI,2863,S,N,0,0,0
Yasufumi,Khamsi,F,801,5266869,SARATOGA SPRINGS,UT,84045,M,N,0,4950,0
Bashir,Leifker,F,303,6458953,BOULDER,CO,80304,M,Y,0,0,0
Freeman,Messner,M,256,7999307,BOOTH,AL,36008,M,N,0,3000,0
Masateru,Botsch,F,701,1831925,FORDVILLE,ND,58231,M,N,0,6600,0
Shyamsundar,Lecce,M,919,3595731,ROBERSONVILLE,NC,27871,S,N,3300,0,0
Juichirou,Zuidweg,M,401,9615986,WOONSOCKET,RI,2895,S,Y,0,0,0
Yinlin,Radovic,F,262,1366829,BANGOR,WI,54614,S,N,700,0,0
Sampath,Lores,M,406,3044981,MARTINSDALE,MT,59053,M,N,0,3800,0
Madeleine,Lorch,F,678,8575355,NORWOOD,GA,30821,S,Y,2700,0,3000
Yuhong,Ostertag,M,302,7168256,WILMINGTON,DE,19806,M,Y,0,220,110
Omri,Noah,F,920,4187614,RHINELANDER,WI,54501,S,Y,700,0,400
Arvin,Steinauer,M,251,6131178,MONTGOMERY,AL,36121,M,N,0,3000,0
Egbert,Rodier,M,479,6702902,NORTH LITTLE ROCK,AR,72190,M,Y,0,40,20
Annalina,Laqua,F,505,4326278,FLORA VISTA,NM,87415,M,N,0,6600,0
Koray,Roetter,M,910,4066330,HENRIETTA,NC,28076,M,Y,0,6600,3300
Zuotao,Nova,M,307,4796610,CLEARMONT,WY,82835,M,N,0,0,0
Supot,Ehrenberger,F,305,2041443,DUNNELLON,FL,34434,M,N,0,0,0
Toney,Minet,M,401,2546276,ASHAWAY,RI,2804,M,Y,0,0,0
Weikai,Handelman,F,209,4102680,GOLD RUN,CA,95717,S,N,87,0,0
Saydean,Janusz,F,276,6777654,DULLES,VA,20189,M,N,0,1800,0
Mina,Masini,M,978,5868838,CENTERVILLE,MA,2634,M,N,0,7150,0
Michelle,Holdridge,M,603,5902152,DURHAM,NH,3824,M,Y,0,0,0
Nuno,Cleveland,F,864,4837990,BATH,SC,29816,M,N,0,6600,0
Anya,Setiz,F,314,1863050,BONNE TERRE,MO,63628,M,N,0,4200,0
Zhengping,Isbell,M,405,8748775,NASHOBA,OK,74558,S,N,1000,0,0
Surnjani,Nadas,F,913,1853020,ELK FALLS,KS,67345,M,Y,0,4500,2250
Richards,Holldobler,F,307,1255737,ENCAMPMENT,WY,82325,S,Y,0,0,0
Lucien,Shilcrat,M,219,7968082,DUBLIN,IN,47335,M,Y,0,2000,1000
Fangzhen,Leece,F,920,9356597,ALTOONA,WI,54720,M,Y,0,1400,400
Shing,Schilz,M,262,5768223,LAND O LAKES,WI,54540,S,N,700,0,0
Leen,Gorz,M,401,4104868,ALBION,RI,2802,S,N,0,0,0
Audrey,Lukassen,F,713,8356955,MALONE,TX,76660,M,N,0,0,0
Zhigen,Holager,F,651,1751048,OUTING,MN,56662,S,Y,3300,0,3300
Satoru,Azadmanesh,M,406,7108190,BUTTE,MT,59750,S,Y,1900,0,1900
Akeo,Mistrik,F,857,1093366,AMHERST,MA,1002,M,N,0,7150,0
Stephanie,Hikichi,F,701,3385216,LAMOURE,ND,58458,S,N,3300,0,0
Shaji,Madanlal,M,208,1205917,MERIDIAN,ID,83646,S,Y,3300,0,3300
Yennun,Wigderson,M,907,1883118,HYDABURG,AK,99922,M,N,0,0,0
Karsten,Kwatra,M,435,2065677,SALT LAKE CITY,UT,84184,M,Y,0,4950,2475
Sentot,Fleck,F,915,1554579,POINT COMFORT,TX,77978,M,N,0,0,0
Tuija,Paries,M,503,8366218,PORTLAND,OR,97213,S,Y,159,0,159
Yanxiang,Sybre,F,856,1144955,PEQUANNOCK,NJ,7440,S,Y,1000,0,1500
Williams,Falgout,F,501,7893538,WOOSTER,AR,72181,M,Y,0,40,20
Roya,Tasiemski,F,304,6295601,ENTERPRISE,WV,26568,M,N,0,4000,0
Enshao,Honglei,M,214,4555425,EL PASO,TX,88555,M,N,0,0,0
Ana,Streett,M,401,5527957,WEST KINGSTON,RI,2892,M,N,0,0,0
Vivian,Benn,M,435,1773104,KANARRAVILLE,UT,84742,M,N,0,4950,0
Gabriella,Schach,F,769,2269537,ROME,MS,38768,M,N,0,12000,0
Gita,Groger,M,334,8201004,TUSCALOOSA,AL,35485,S,N,1500,0,0
Fenia,Pagter,F,307,5846560,ENCAMPMENT,WY,82325,M,Y,0,0,0
Vladdimir,Gini,F,843,1669655,BLACKSTOCK,SC,29014,S,Y,3300,0,3300
Erika,Herget,M,302,3887156,MAGNOLIA,DE,19962,M,N,0,220,0
Pushan,Tishby,M,308,9239231,TILDEN,NE,68781,S,Y,103,0,103
Navid,Brookman,M,478,3364539,STATHAM,GA,30666,M,N,0,5400,0
Avideh,Lindenbaum,M,605,2964874,ALCESTER,SD,57001,M,Y,0,0,0
Jacobijn,Pokoski,F,860,2917032,WATERFORD,CT,6386,S,N,12750,0,0
Souji,Kodek,M,802,2757250,SOUTH POMFRET,VT,5067,M,N,0,6600,0
Ayal,Krychniak,F,660,8449547,WINIGAN,MO,63566,M,N,0,4200,0
Mihail,Hogarth,M,505,5392970,WEED,NM,88354,M,Y,0,6600,3300
Vivek,Zagha,F,678,4104008,ATLANTA,GA,30345,M,N,0,5400,0
Shauchi,Gilmore,F,609,5801957,BAPTISTOWN,NJ,8803,S,N,1000,0,0
Bevin,Arthan,F,920,4733819,BIG FALLS,WI,54926,S,Y,700,0,400
Tengku,Dorrscheidt,M,605,3688767,KENNEBEC,SD,57544,M,N,0,0,0
Kahoru,VanderMeer,F,512,4852059,OLNEY,TX,76374,S,N,0,0,0
Zeynep,Pavlovsky,F,636,9188082,TINA,MO,64682,S,Y,2100,0,1200
Santosh,Anderaa,M,205,8715759,SYCAMORE,AL,35149,S,N,1500,0,0
Aran,Ohsie,M,662,9798670,MONEY,MS,38945,S,N,6000,0,0
Michun,Ariola,F,973,9159597,HOPATCONG,NJ,7843,S,Y,1000,0,1500
Gad,McKibbon,F,630,1207393,HOPEDALE,IL,61747,M,Y,0,4000,2000
Shui,Metais,M,843,4633970,WILLIAMSTON,SC,29697,S,N,3300,0,0
Shaygan,Panagaden,F,717,6975208,URSINA,PA,15485,M,Y,0,0,0
Mehdi,Lucking,F,787,1049737,ANASCO,PR,610,S,Y,0,0,0
Archita,Angele,M,402,5606313,ELMWOOD,NE,68349,M,N,0,206,0
Kensaku,Tsvetovat,F,763,4533111,EDGERTON,MN,56128,S,N,3300,0,0
Bostjan,Babaguchi,F,605,8175205,IRENE,SD,57037,M,N,0,0,0
Jianli,Ascher,M,862,2797669,SCHOOLEYS MOUNTAIN,NJ,7870,S,Y,1000,0,1500
Miche,Laurinolli,M,610,4302457,PHILADELPHIA,PA,19195,S,N,0,0,0
Kadaba,MacNair,M,513,9702551,CANTON,OH,44705,S,Y,1300,0,1300
Bernd,Ghenassia,M,562,5169746,FRESNO,CA,93779,S,Y,87,0,272
Seichi,Reiprich,F,802,4617152,MONKTON,VT,5469,M,N,0,6600,0
Raja,Scherz,M,580,1111313,MOUNDS,OK,74047,M,Y,0,2000,1000
Sanzheng,Atluri,M,985,3115419,WATSON,LA,70786,M,Y,0,9000,1000
Surajit,Coyne,F,253,2257364,REDONDO,WA,98054,S,N,0,0,0
Muralidharan,Glanzel,F,970,3994110,STEAMBOAT SPRINGS,CO,80488,S,N,0,0,0
Cimarron,Feldmesser,M,202,7797737,WASHINGTON,DC,20015,S,Y,1370,0,1370
Friedrich,Dostal,F,973,7885327,FRANKLIN PARK,NJ,8823,M,Y,0,2000,1500
Inderjeet,Handel,F,208,3069340,DONNELLY,ID,83615,M,Y,0,6600,3300
Earlin,Tomic,M,443,2299922,SANDY SPRING,MD,20860,S,N,2400,0,0
Basim,Hooman,M,207,2457421,FORT FAIRFIELD,ME,4742,S,Y,2850,0,2850
Derek,Rueda,F,850,8972397,MICANOPY,FL,32667,M,N,0,0,0
Yoji,Canet,M,808,7098627,ANAHOLA,HI,96703,M,N,0,2080,0
Yoonjoon,Mezei,M,401,1312923,RIVERSIDE,RI,2915,S,N,0,0,0
Alongkrit,Carls,M,907,3939436,BETTLES FIELD,AK,99726,M,Y,0,0,0
Yeow,Kavanagh,F,802,1408555,WEST BURKE,VT,5871,S,N,3300,0,0
Egon,Gadbois,M,907,5119628,KLAWOCK,AK,99925,M,N,0,0,0
Kimming,Liscouet,F,612,2134302,SAINT PAUL,MN,55130,M,Y,0,6600,3300
Brailey,Haack,F,302,5774333,WILMINGTON,DE,19805,M,Y,0,220,110
Naomi,Emond,F,860,5747527,CENTERBROOK,CT,6409,M,Y,0,24500,0
Xiahua,Sikic,F,351,9164996,PINEHURST,MA,1866,M,Y,0,7150,1000
Fumiya,Flanders,F,724,9008041,HANNASTOWN,PA,15635,S,N,0,0,0
Zhengyan,Baafi,F,302,1239610,HOUSTON,DE,19954,M,Y,0,220,110
Huu,Thiel,F,276,4239504,ROANOKE,VA,24004,S,Y,900,0,900
Phenil,Kuhnemann,F,435,8745310,WOODRUFF,UT,84086,M,Y,0,4950,2475
Yonit,Miremadi,M,828,3203969,LAKE LURE,NC,28746,S,Y,3300,0,3300
Mila,Aitken,M,603,6744077,JEFFERSON,NH,3583,M,N,0,0,0
Hartmit,Bogomolov,M,719,5575229,HOTCHKISS,CO,81419,S,N,0,0,0
Mahesh,Campagnoni,M,502,1348873,LEXINGTON,KY,40533,M,Y,0,40,20
Prentiss,Parmakson,F,973,6764167,WYCKOFF,NJ,7481,S,N,1000,0,0
Marzena,Kuzuoka,F,319,7661607,GRAND RIVER,IA,50108,M,Y,0,80,40
Doina,Klusch,M,802,4698711,CAMBRIDGEPORT,VT,5141,M,N,0,6600,0
Sadatoshi,Urponen,M,719,2709835,JAROSO,CO,81138,M,N,0,0,0
Vikraman,Jarwala,F,406,2957615,SIMMS,MT,59477,S,N,1900,0,0
Seinosuke,Hollenberg,F,307,7382344,FREEDOM,WY,83120,S,N,0,0,0
Shaibal,Baudin,F,210,7864680,DUNCANVILLE,TX,75138,M,N,0,0,0
Lukas,Tuuliniemi,F,206,3563176,HOQUIAM,WA,98550,S,N,0,0,0
Jonny,Seppanen,F,307,6006727,KIRBY,WY,82430,M,Y,0,0,0
Vials,Tzannes,F,360,9097182,PE ELL,WA,98572,M,N,0,0,0
Saroja,Lorho,F,949,5828051,UNIVERSAL CITY,CA,91608,M,N,0,174,0
Rupak,Hudlicka,M,860,1825307,WOODSTOCK VALLEY,CT,6282,S,N,12750,0,0
Xue,Masulis,F,605,9841343,FLANDREAU,SD,57028,M,Y,0,0,0
Carme,Hassin,F,602,5029637,PRESCOTT,AZ,86303,S,N,2100,0,0
Gadi,Muntz,F,541,6127553,WHITE CITY,OR,97503,S,Y,159,0,159
Francis,Vries,F,864,6503759,KERSHAW,SC,29067,S,Y,3300,0,3300
Soung,Crivelli,M,256,8751965,WOODSTOCK,AL,35188,M,Y,0,3000,300
Kuorong,Xiaocong,M,864,6224599,CATAWBA,SC,29704,S,N,3300,0,0
Gabi,Marchegay,F,567,5689816,GRAND RIVER,OH,44045,S,N,1300,0,0
John,Rheingans,F,702,9729079,BOULDER CITY,NV,89005,M,Y,0,0,0
Jihie,Tavangarian,F,307,4261980,YELLOWSTONE NATIONAL PARK,WY,82190,M,N,0,0,0
Aydin,Marchesini,M,787,2404935,SAN JUAN,PR,931,S,Y,0,0,0
Elias,Kopecky,F,603,2099800,CENTER TUFTONBORO,NH,3816,M,Y,0,0,0
Guillem,D Ambra,F,605,6168948,WHITE RIVER,SD,57579,S,Y,0,0,0
Chuzo,Hajnal,M,253,7105305,MALAGA,WA,98828,M,N,0,0,0
Georgios,Newbery,F,513,3071140,AKRON,OH,44328,S,N,1300,0,0
Muneo,Rotem,M,406,3182876,KALISPELL,MT,59904,S,N,1900,0,0
Pil,Belz,F,504,3857205,MONROE,LA,71210,M,Y,0,9000,1000
Bijendra,Sanglu,M,763,9521324,SARTELL,MN,56377,S,Y,3300,0,3300
Jitian,Gregoire,F,303,2849196,WINTER PARK,CO,80482,S,Y,0,0,0
LuoQuan,Ebeling,F,856,6019754,COLOGNE,NJ,8213,S,Y,1000,0,1500
Constantin,Sendrier,F,352,3137707,NEPTUNE BEACH,FL,32266,S,N,0,0,0
Lingyuan,Carlsson,M,787,8302074,VILLALBA,PR,766,S,N,0,0,0
Sheila,Dinstein,M,443,1557607,HAGERSTOWN,MD,21742,M,Y,0,4800,2400
Shem,Rutschlin,M,606,7557383,LOUISVILLE,KY,40270,S,Y,20,0,20
Hans,Lanzi,F,864,7787191,CLEMSON,SC,29633,S,Y,3300,0,3300
Lawrence,Boynton,F,202,7162444,WASHINGTON,DC,20575,M,Y,0,2740,1370
Williaam,Lubachevsky,M,630,9628849,SOUTH BELOIT,IL,61080,M,Y,0,4000,2000
Aarti,Fastenbauer,M,401,5909123,GLENDALE,RI,2826,S,Y,0,0,0
Usama,Vogler,M,701,2061920,KEENE,ND,58847,S,Y,3300,0,3300
Arthur,Duh,M,603,6704855,CENTER SANDWICH,NH,3227,M,Y,0,0,0
Candida,Castella,F,425,2707250,COLVILLE,WA,99114,M,Y,0,0,0
Rosmarie,Elihai,M,260,1098604,SOUTH BEND,IN,46613,S,N,1000,0,0
Makiki,Aluru,M,402,4033186,PLATTE CENTER,NE,68653,M,Y,0,206,103
Heung,Bahi,M,802,4556239,MANCHESTER,VT,5254,S,Y,3300,0,3300
Beatriz,Groz,F,605,2758946,OLDHAM,SD,57051,S,Y,0,0,0
Fahimeh,Cavin,M,765,5748354,HILLSDALE,IN,47854,M,N,0,2000,0
Niel,Siprelle,M,254,4378813,HOUSTON,TX,77074,M,N,0,0,0
Jianxiu,Layer,M,317,3619905,GRANGER,IN,46530,S,Y,1000,0,1000
Leoan,Leonidas,M,541,6554724,CASCADIA,OR,97329,M,Y,0,318,159
Chumki,Prietula,M,703,1459207,GATE CITY,VA,24251,M,Y,0,1800,900
Pierce,Kropatsch,M,601,6235660,INVERNESS,MS,38753,S,Y,6000,0,1500
Ortwin,Nerima,M,701,1856853,HAGUE,ND,58542,M,Y,0,6600,3300
Adri,Macpherson,M,719,4196000,GUNNISON,CO,81230,M,N,0,0,0
Irfan,Rouse,M,253,8261219,POMEROY,WA,99347,M,N,0,0,0
Suranjan,Mathieson,M,878,3147084,VESTABURG,PA,15368,M,N,0,0,0
Rabi,Carapuca,M,208,2746899,IDAHO FALLS,ID,83402,M,N,0,6600,0
Heekeun,Mikki,F,607,5333934,SYRACUSE,NY,13221,M,N,0,0,0
France,Abbasi,M,757,5696930,WARFIELD,VA,23889,M,Y,0,1800,900
Naveena,Arsintescu,F,443,7328837,BRANDYWINE,MD,20613,M,Y,0,4800,2400
Junghsen,Hirowatar,M,907,5436211,KALTAG,AK,99748,S,N,0,0,0
Karpjoo,Alberts,M,808,8546463,HONOLULU,HI,96825,S,N,1040,0,0
Fangqing,Cosar,M,925,5547085,ORINDA,CA,94563,M,N,0,174,0
Yizheng,Riel,M,207,9693650,SOUTH WINDHAM,ME,4082,M,Y,0,5700,2850
Shirla,Brenner,M,202,1638113,WASHINGTON,DC,20260,M,Y,0,2740,1370
Yunshan,Etoh,F,503,4287761,NORTH POWDER,OR,97867,M,Y,0,318,159
Kozi,Pilote,F,701,7568473,LITCHVILLE,ND,58461,S,N,3300,0,0
Yoshinao,Whitcroft,M,718,6903372,EAST ROCHESTER,NY,14445,S,Y,0,0,1000
Berndt,Vassalos,F,316,4239192,DRESDEN,KS,67635,M,N,0,4500,0
Jianli,Sewry,M,202,7529775,PARCEL RETURN SERVICE,DC,56920,M,Y,0,2740,1370
Sashi,Linnemann,F,304,1467655,COAL MOUNTAIN,WV,24823,S,Y,2000,0,2000
Tsunehiko,Siksek,F,878,7789535,HANOVER,PA,17331,M,Y,0,0,0
Letizia,Kameya,F,541,3142375,COTTAGE GROVE,OR,97424,M,Y,0,318,159
Seiki,Leuschel,F,971,1946889,SALEM,OR,97317,M,N,0,318,0
Edwin,Reedy,F,209,3135201,LOS ANGELES,CA,90061,S,N,87,0,0
Nai,Capon,M,913,8263805,GARFIELD,KS,67529,S,Y,2250,0,2250
Elihu,Rauh,F,203,3087409,HARTFORD,CT,6167,S,Y,12750,0,0
Ravishankar,Sippi,M,901,6386468,CROSSVILLE,TN,38572,M,Y,0,0,0
Serhan,Schoning,M,920,2132151,MENASHA,WI,54952,M,N,0,1400,0
Lianwen,Dumke,M,205,3594654,RANBURNE,AL,36273,M,Y,0,3000,300
Theis,Kahale,M,608,5815840,MADISON,WI,53707,M,Y,0,1400,400
Grey,Emmitt,M,413,5561826,MASHPEE,MA,2649,M,Y,0,7150,1000
Jayen,Tempesti,F,802,5892677,JERICHO,VT,5465,S,N,3300,0,0
Limor,Srinivasaragavan,F,208,6045502,MURRAY,ID,83874,S,Y,3300,0,3300
Narisa,Ruamviboonsuk,M,443,7746883,HANOVER,MD,21098,S,N,2400,0,0
Kjeld,Grinter,F,701,9106068,HAGUE,ND,58542,S,N,3300,0,0
Minjie,Mittra,M,207,9299915,PRESQUE ISLE,ME,4769,M,N,0,5700,0
Krishnaiah,Kobler,F,201,2639414,TRENTON,NJ,8638,S,Y,1000,0,1500
Anoosh,Kadur,F,724,2732122,GRANVILLE,PA,17029,M,Y,0,0,0
Carolina,Billinghurst,F,662,4162777,GREENWOOD,MS,38930,M,Y,0,12000,1500
Stanley,Pinchon,F,505,2929152,HOBBS,NM,88244,S,Y,3300,0,3300
Rusell,Spirn,F,302,9007992,WILMINGTON,DE,19889,M,Y,0,220,110
Ibrahim,Therber,M,256,6175989,TIBBIE,AL,36583,S,Y,1500,0,300
Song,Butter,F,347,4399712,VESTAL,NY,13851,S,Y,0,0,1000
Saumya,Kadesch,M,309,9481168,RUSHVILLE,IL,62681,S,N,2000,0,0
Orran,Grems,F,970,3131393,IDALIA,CO,80735,S,Y,0,0,0
Shoshana,Gazzotti,M,334,7003547,JACKSON,AL,36501,S,N,1500,0,0
Gunvant,Cowen,F,406,8069899,KALISPELL,MT,59903,M,N,0,3800,0
Wernhuar,Boreddy,M,401,8523257,TIVERTON,RI,2878,S,Y,0,0,0
Chongjiang,Durin,M,480,5365249,GRAY MOUNTAIN,AZ,86016,M,Y,0,4200,2300
Akihiko,Luukkainen,F,985,7894565,BETHANY,LA,71007,M,N,0,9000,0
Kristen,Makinen,F,502,2433711,ARY,KY,41712,M,Y,0,40,20
Jaan,Sawaragi,F,801,6075396,MOAB,UT,84532,S,N,2475,0,0
Nirad,Machiraju,M,808,9117963,NINOLE,HI,96773,S,Y,1040,0,1040
Hidetsune,Grundmann,M,947,7902146,WAYNE,MI,48184,S,Y,3100,0,3100
Vicenzo,Trudel,F,312,8748700,FRANKFORT,IL,60423,M,N,0,4000,0
Oris,Drabenstott,M,803,2639236,SUMMERTON,SC,29148,M,N,0,6600,0
Dunren,Spinner,F,769,4526791,GRENADA,MS,38901,S,Y,6000,0,1500
Kiochi,Schick,F,980,9134103,RAMSEUR,NC,27316,S,Y,3300,0,3300
Yaghout,Moustafa,F,251,2437031,MOBILE,AL,36633,S,Y,1500,0,300
Karthikeyan,Popken,M,908,7183445,WAYNE,NJ,7477,S,Y,1000,0,1500
Zhimin,Agrafiotis,F,701,5782988,VELVA,ND,58790,M,Y,0,6600,3300
Heekyoung,Berg,F,605,9449469,EAGLE BUTTE,SD,57625,S,N,0,0,0
Georgios,Nori,F,808,3057284,VOLCANO,HI,96785,S,N,1040,0,0
Faye,Westmeier,F,623,7687659,CLAYPOOL,AZ,85532,S,Y,2100,0,2300
Alfredo,Dosser,M,606,5205949,EASTERN,KY,41622,M,N,0,40,0
Debanjan,Milojicic,M,907,7604067,CRAIG,AK,99921,M,Y,0,0,0
Corey,Sherwood,F,307,6363149,GRANGER,WY,82934,M,Y,0,0,0
Jinkun,Habra,F,715,8925299,GREEN BAY,WI,54304,S,N,700,0,0
Ananth,Papakostas,F,808,9335061,MAUNALOA,HI,96770,S,Y,1040,0,1040
Jang,Forgy,F,609,1328554,CHERRY HILL,NJ,8034,M,Y,0,2000,1500
Arding,Dee,F,256,2808525,ORRVILLE,AL,36767,M,Y,0,3000,300
Xiaoquing,Llaberia,M,414,9374168,ELKHORN,WI,53121,S,Y,700,0,400
Minwen,Plug,F,310,9094635,LOS ALAMITOS,CA,90721,S,Y,87,0,272
Lionel,Pehl,F,419,2996650,DUBLIN,OH,43017,M,Y,0,2600,1300
